Hour;DateTime;T36;RH36;AT36;Tamb;RHamb;ATamb;T36-Tamb;AT36-ATamb
1847;6.11.2021 12:00;29.2;66;34.3;23.6;49;24.3;5.6;10.0
1848;6.11.2021 13:00;27.3;71;31.9;25.1;43;25.5;2.2;6.4
1849;6.11.2021 14:00;28.3;69;33.2;25.7;40;26.0;2.6;7.3
1850;6.11.2021 15:00;29.3;67;34.5;24.6;49;25.6;4.7;8.9
1851;6.11.2021 16:00;30.1;66;35.5;23.4;51;24.2;6.7;11.3
1852;6.11.2021 17:00;31.0;64;36.8;22.3;54;23.1;8.7;13.6
1853;6.11.2021 18:00;31.5;64;37.6;20.3;61;21.0;11.2;16.5
1854;6.11.2021 19:00;32.8;63;39.4;18.9;66;19.6;13.9;19.8
1855;6.11.2021 20:00;32.7;62;39.1;18.0;65;18.5;14.7;20.6
1856;6.11.2021 21:00;33.0;61;39.4;17.0;68;17.4;16.0;22.0
1857;6.11.2021 22:00;33.1;61;39.5;15.9;74;16.3;17.2;23.2
1858;6.11.2021 23:00;33.6;60;40.2;14.8;81;15.3;18.8;24.9
1859;7.11.2021 00:00;34.1;60;40.9;13.8;90;14.5;20.3;26.4
1860;7.11.2021 01:00;33.7;60;40.3;13.2;95;13.9;20.5;26.3
1861;7.11.2021 02:00;33.6;59;40.0;12.9;96;13.6;20.7;26.3
1862;7.11.2021 03:00;33.9;60;40.6;13.1;95;13.8;20.8;26.9
1863;7.11.2021 04:00;33.8;60;40.4;12.8;95;13.5;21.0;26.9
1864;7.11.2021 05:00;33.3;59;39.6;12.6;95;13.2;20.7;26.4
1865;7.11.2021 06:00;32.9;59;38.9;12.4;95;12.9;20.5;26.0
1866;7.11.2021 07:00;32.4;60;38.2;12.2;95;12.6;20.2;25.6
1867;7.11.2021 08:00;32.0;60;37.6;11.9;95;12.3;20.1;25.3
1868;7.11.2021 09:00;32.0;60;37.7;12.3;92;12.7;19.7;25.0
1869;7.11.2021 10:00;31.4;60;36.6;13.3;87;13.6;18.1;23.0
1870;7.11.2021 11:00;30.9;61;36.0;14.9;78;15.3;16.0;20.8
1871;7.11.2021 12:00;30.3;61;35.2;15.6;75;15.9;14.7;19.3
1872;7.11.2021 13:00;29.8;63;34.7;16.5;71;16.8;13.3;17.9
1873;7.11.2021 14:00;29.3;65;34.2;17.7;66;18.1;11.6;16.1
1874;7.11.2021 15:00;29.8;62;34.5;17.3;76;18.3;12.5;16.2
1875;7.11.2021 16:00;30.0;65;35.3;17.5;75;18.4;12.5;16.9
1876;7.11.2021 17:00;30.5;64;35.9;17.4;75;18.3;13.1;17.6
1877;7.11.2021 18:00;29.9;67;35.5;16.3;79;17.2;13.6;18.3
1878;7.11.2021 19:00;29.5;64;34.5;15.8;81;16.7;13.7;17.8
1879;7.11.2021 20:00;30.1;63;35.2;15.4;85;16.3;14.7;18.9
1880;7.11.2021 21:00;29.3;66;34.3;14.7;88;15.6;14.6;18.7
1881;7.11.2021 22:00;29.7;65;34.9;13.6;94;14.5;16.1;20.4
1882;7.11.2021 23:00;29.7;64;34.7;13.2;96;14.0;16.5;20.6
1883;8.11.2021 00:00;29.3;65;34.2;13.1;97;14.0;16.2;20.2
1884;8.11.2021 01:00;28.6;65;33.2;13.0;96;13.7;15.6;19.5
1885;8.11.2021 02:00;28.4;66;33.0;12.4;97;13.0;16.0;20.0
1886;8.11.2021 03:00;28.2;66;32.7;12.1;97;12.7;16.1;20.1
1887;8.11.2021 04:00;27.6;66;31.7;11.8;97;12.2;15.8;19.5
1888;8.11.2021 05:00;27.5;66;31.7;11.3;98;11.6;16.2;20.1
1889;8.11.2021 06:00;27.6;67;31.9;11.8;96;12.2;15.8;19.7
1890;8.11.2021 07:00;27.2;68;31.4;11.8;96;12.1;15.4;19.3
1891;8.11.2021 08:00;26.8;67;30.8;11.5;98;11.8;15.3;19.0
1892;8.11.2021 09:00;26.6;68;30.5;13.5;87;13.9;13.1;16.7
1893;8.11.2021 10:00;27.4;69;31.9;16.6;71;16.9;10.8;14.9
